Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,YYZ,LAS,Delta Air Lines (DL),Delta Air Lines,1937,04:22,,,,,73H,,,"Codeshare",193,3877,2009
- -,YYZ,LAS,WestJet (WS),WestJet,1937,04:22,,,,,73H,,,"Direct",193,3877,5416
- -,YYZ,LAX,American Airlines (AA),American Airlines,2169,04:50,,,,,738,,,"Direct",193,3484,24
- -,YYZ,LAX,Air Canada (AC),Air Canada,2169,04:50,,,,,321 320,,,"Direct",193,3484,330
- -,YYZ,LAX,United Airlines (UA),United Airlines,2169,04:50,,,,,321 320,,,"Codeshare",193,3484,5209
- -,YYZ,LAX,US Airways (US),US Airways,2169,04:50,,,,,738,,,"Direct",193,3484,5265
- -,YYZ,LAX,WestJet (WS),WestJet,2169,04:50,,,,,738,,,"Codeshare",193,3484,5416
- -,YYZ,LGA,American Airlines (AA),American Airlines,355,01:12,,,,,CR7,,,"Codeshare",193,3697,24
- -,YYZ,LGA,Air Canada (AC),Air Canada,355,01:12,,,,,E90 E75,,,"Direct",193,3697,330
- -,YYZ,LGA,Delta Air Lines (DL),Delta Air Lines,355,01:12,,,,,736 73W,,,"Codeshare",193,3697,2009
- -,YYZ,LGA,United Airlines (UA),United Airlines,355,01:12,,,,,E90 CRA E75,,,"Codeshare",193,3697,5209
- -,YYZ,LGA,US Airways (US),US Airways,355,01:12,,,,,CR7,,,"Direct",193,3697,5265
- -,YYZ,LGA,WestJet (WS),WestJet,355,01:12,,,,,736 73W,,,"Direct",193,3697,5416
- -,YYZ,LGW,Air Transat (TS),Air Transat,3564,07:37,,,,,330,,,"Direct",193,502,1317
- -,YYZ,LHE,Pakistan International Airlines (PK),Pakistan International Airlines,6984,14:28,,,,,777,,,"Direct",193,2207,3871
- -,YYZ,LHR,American Airlines (AA),American Airlines,3544,07:35,,,,,787 744,,,"Codeshare",193,507,24
